inicio,fin
pantitlan,zaragoza
zaragoza,gomez_farias
gomez_farias,blvd_puerto_aereo
blvd_puerto_aereo,balbuena
balbuena,moctezuma
moctezuma,san_lazaro
san_lazaro,candelaria
candelaria,merced
merced,pino_suarez
pino_suarez,isabel_la_catolica
isabel_la_catolica,salto_del_agua
salto_del_agua,balderas
balderas,cuahutemoc
cuahutemoc,insurgentes
insurgentes,sevilla
sevilla,chapultepec
chapultepec,juanacatlan
juanacatlan,tacubaya
tacubaya,observatorio
cuatro_caminos,panteones
panteones,tacuba
tacuba,cuitlahuac
cuitlahuac,popotla
popotla,colegio_militar
colegio_militar,normal
normal,san_cosme
san_cosme,revolucion
revolucion,hidalgo
hidalgo,bellas_artes
bellas_artes,allende
allende,zocalo
zocalo,pino_suarez
pino_suarez,san_antonio_abad
sa_antonio_abad,chabacano
chabacano,viaducto
viaducto,xola
xola,villa_de_cortes
villa_de_cortes,nativitas
nativitas,portales
portales,ermita
ermita,general_anaya
general_anaya,tasquena
indios_verdes,deptvo18marzo
deptvo18marzo,potrero
portero,la_raza
la_raza,tlatelolco
tlatelolco,guerreo
guerrero,hidalgo
hidalgo,juarez
juarez,balderas
balderas,ninos_heroes
ninos_heroes,hospital_general
hospital_general,centro_medico
centro_medico,etiopia
etiopia,eugenia
eugenia,division_del_norte
division_del_norte,zapata
zapata,coyoacan
coyoacan,viveros
viveros,mangelquevedo
mangelquevedo,copilco
copilco,universidad
martin_carrera,talisman
talisman,bondijito
bondijito,consulado
consulado,canal_del_norte
canal_del_norte,morelos
morelos,candelaria
candelaria,fray_servando
fray_servando,jamaica
jamaica,santa_anita
pantitlan,hangares
hangares,terminal_aerea
terminal_aerea,oceania
oceania,aragon
aragon,eduardo_molina
eduardo_molina,consulado
consulado,valle_gomez
valle_gomez,misterios
misterios,la_raza
la_raza,autobuses_del_norte
autobuses_del_norte,instituto_del_petroleo
instituto_del_petroleo,politecnico
